tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
392,2013-09-01 00:04:33,2013-09-01 00:11:05,328,Watts St & Greenwich St,40.72405549,-74.00965965,417,Barclay St & Church St,40.71291224,-74.01020234,18081,Subscriber,1969,1
798,2013-09-01 00:04:36,2013-09-01 00:17:54,469,Broadway & W 53 St,40.76344058,-73.98268129,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17303,Subscriber,1988,2
696,2013-09-01 00:04:41,2013-09-01 00:16:17,479,9 Ave & W 45 St,40.76019252,-73.9912551,453,W 22 St & 8 Ave,40.74475148,-73.99915362,20070,Subscriber,1973,1
797,2013-09-01 00:04:41,2013-09-01 00:17:58,2000,Front St & Washington St,40.70255088,-73.98940236,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,15416,Customer,\N,0
795,2013-09-01 00:04:45,2013-09-01 00:18:00,469,Broadway & W 53 St,40.76344058,-73.98268129,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17997,Subscriber,1986,2
1134,2013-09-01 00:04:51,2013-09-01 00:23:45,389,Broadway & Berry St,40.71044554,-73.96525063,349,Rivington St & Ridge St,40.71850211,-73.98329859,18625,Customer,\N,0
1334,2013-09-01 00:04:59,2013-09-01 00:27:13,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,16293,Subscriber,1983,1
1576,2013-09-01 00:05:08,2013-09-01 00:31:24,351,Front St & Maiden Ln,40.70530954,-74.00612572,417,Barclay St & Church St,40.71291224,-74.01020234,19779,Customer,\N,0
1321,2013-09-01 00:05:16,2013-09-01 00:27:17,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,17130,Subscriber,1977,1
1417,2013-09-01 00:05:19,2013-09-01 00:28:56,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,401,Allen St & Rivington St,40.72019576,-73.98997825,17603,Customer,\N,0
1075,2013-09-01 00:05:20,2013-09-01 00:23:15,382,University Pl & E 14 St,40.73492695,-73.99200509,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,14642,Subscriber,1974,1
447,2013-09-01 00:05:24,2013-09-01 00:12:51,402,Broadway & E 22 St,40.740343200000005,-73.98955109,434,9 Ave & W 18 St,40.74317449,-74.00366443,19423,Subscriber,1987,2
285,2013-09-01 00:05:34,2013-09-01 00:10:19,247,Perry St & Bleecker St,40.73535398,-74.00483091,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,18974,Subscriber,1977,1
1865,2013-09-01 00:05:45,2013-09-01 00:36:50,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,469,Broadway & W 53 St,40.76344058,-73.98268129,14771,Customer,\N,0
1121,2013-09-01 00:05:49,2013-09-01 00:24:30,387,Centre St & Chambers St,40.71273266,-74.0046073,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15401,Subscriber,1981,1
468,2013-09-01 00:05:58,2013-09-01 00:13:46,116,W 17 St & 8 Ave,40.74177603,-74.00149746,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17346,Subscriber,1991,1
1810,2013-09-01 00:05:58,2013-09-01 00:36:08,501,FDR Drive & E 35 St,40.744219,-73.97121214,164,E 47 St & 2 Ave,40.75323098,-73.97032517,15492,Customer,\N,0
243,2013-09-01 00:06:05,2013-09-01 00:10:08,479,9 Ave & W 45 St,40.76019252,-73.9912551,478,11 Ave & W 41 St,40.76030096,-73.99884222,18041,Subscriber,1978,1
1466,2013-09-01 00:06:23,2013-09-01 00:30:49,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,479,9 Ave & W 45 St,40.76019252,-73.9912551,20513,Subscriber,1969,1
782,2013-09-01 00:06:25,2013-09-01 00:19:27,285,Broadway & E 14 St,40.73454567,-73.99074142,229,Great Jones St,40.72743423,-73.99379025,19022,Subscriber,1986,1
442,2013-09-01 00:06:27,2013-09-01 00:13:49,469,Broadway & W 53 St,40.76344058,-73.98268129,527,E 33 St & 1 Ave,40.74315566,-73.97434726,19553,Subscriber,1978,1
539,2013-09-01 00:06:32,2013-09-01 00:15:31,520,W 52 St & 5 Ave,40.75992262,-73.97648516,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,16052,Subscriber,1962,1
356,2013-09-01 00:06:36,2013-09-01 00:12:32,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,18694,Subscriber,1976,1
1360,2013-09-01 00:06:41,2013-09-01 00:29:21,502,Henry St & Grand St,40.714215,-73.981346,291,Madison St & Montgomery St,40.713126,-73.984844,19181,Customer,\N,0
554,2013-09-01 00:06:53,2013-09-01 00:16:07,510,W 51 St & 6 Ave,40.7606597,-73.98042047,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,19544,Subscriber,1980,1
456,2013-09-01 00:06:53,2013-09-01 00:14:29,212,W 16 St & The High Line,40.74334935,-74.00681753,446,W 24 St & 7 Ave,40.74487634,-73.99529885,20533,Customer,\N,0
627,2013-09-01 00:06:55,2013-09-01 00:17:22,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,15876,Subscriber,1987,2
992,2013-09-01 00:06:57,2013-09-01 00:23:29,405,Washington St & Gansevoort St,40.739323,-74.008119,363,West Thames St,40.70834698,-74.01713445,14911,Subscriber,1971,1
